frequency,comm_auth,tfidf_title,tfidf_citance_avg,tfidf_citance_max,wmd_title,wmd_citance_avg,wmd_citance_max,len_citance_avg,len_citance_max,vad_pos_max,vad_neg_max,vad_neu_max,vad_com_max,vad_pos_avg,vad_neg_avg,vad_neu_avg,vad_com_avg,label
1,0,0.0,0.0,0.0,0.38033209297496523,0.44719807930712535,0.44719807930712535,105.0,105,0.118,0.0,0.882,0.25,0.118,0.0,0.882,0.25,0,
1,0,0.0,0.1123427789154278,0.1123427789154278,0.49712449358428695,0.33173324811234683,0.33173324811234683,199.0,199,0.071,0.0,0.929,0.25,0.071,0.0,0.929,0.25,0,
1,0,0.0,0.05026908748015023,0.05026908748015023,0.4299945050245242,0.37538384719109,0.37538384719109,229.0,229,0.0,0.086,0.914,-0.4404,0.0,0.086,0.914,-0.4404,0,
1,0,0.0,0.07188411746164712,0.07188411746164712,0.3510089768860648,0.34526935925997687,0.34526935925997687,418.0,418,0.143,0.0,0.857,0.802,0.143,0.0,0.857,0.802,1,
1,0,0.0,0.0,0.0,0.36351095651564996,0.44649561891804845,0.44649561891804845,253.0,253,0.068,0.0,0.932,0.4019,0.068,0.0,0.932,0.4019,1,
1,0,0.38087260847594373,0.0648911121832301,0.0648911121832301,0.3885171045682902,0.40006611619861393,0.40006611619861393,148.0,148,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.08176804146599939,0.07357474610589512,0.07357474610589512,0.5239778568852016,0.5089966547750552,0.5089966547750552,107.0,107,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.20613696606828605,0.20337368828022065,0.20337368828022065,0.4060947103166935,0.36924252162042276,0.36924252162042276,366.0,366,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,
1,0,0.0,0.05543618957411839,0.05543618957411839,0.3065198230272737,0.42513231248663275,0.42513231248663275,169.0,169,0.077,0.0,0.923,0.25,0.077,0.0,0.923,0.25,0,
1,0,0.0,0.0,0.0,0.2647348045532347,0.4351040598255315,0.4351040598255315,272.0,272,0.266,0.079,0.655,0.8271,0.266,0.079,0.655,0.8271,0,
1,0,0.10163066979112657,0.0,0.0,0.4781118123981701,0.4957955076808976,0.4957955076808976,151.0,151,0.156,0.0,0.844,0.4019,0.156,0.0,0.844,0.4019,1,
1,0,0.0,0.07734781234369076,0.07734781234369076,0.5763314198651889,0.42242777848082086,0.42242777848082086,286.0,286,0.063,0.0,0.937,0.3612,0.063,0.0,0.937,0.3612,0,
1,0,0.09349477497536718,0.07734781234369076,0.07734781234369076,0.4993879844106587,0.4221871286014725,0.4221871286014725,286.0,286,0.063,0.0,0.937,0.3612,0.063,0.0,0.937,0.3612,0,
1,0,0.0,0.0,0.0,0.5176223063051866,0.43306925247985856,0.43306925247985856,161.0,161,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.0,0.0,0.0,0.4713045340074599,0.45448101099451055,0.45448101099451055,132.0,132,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.0,0.0,0.0,0.39963640129949446,0.454376775062856,0.454376775062856,130.0,130,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.0,0.10106587557208109,0.10106587557208109,0.48726990733430603,0.3773157264104575,0.3773157264104575,287.0,287,0.032,0.0,0.968,0.1154,0.032,0.0,0.968,0.1154,0,
1,0,0.0,0.0,0.0,0.5242819487250892,0.38927608665346264,0.38927608665346264,174.0,174,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.0,0.0,0.0,0.4378456112430614,0.38951422286735543,0.38951422286735543,174.0,174,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.08704446792504217,0.07188411746164712,0.07188411746164712,0.19180648047627352,0.34525826728870906,0.34525826728870906,418.0,418,0.143,0.0,0.857,0.802,0.143,0.0,0.857,0.802,0,
4,0,0.1375436045558623,0.0316112504295192,0.07244081925041986,0.36311667139636805,0.5368371902069855,0.6521405226994677,97.25,134,0.385,0.0,1.0,0.6124,0.2275,0.0,0.7725,0.43462500000000004,0,
1,0,0.0,0.03854966387223764,0.03854966387223764,0.44461889569541435,0.5247901014879212,0.5247901014879212,201.0,201,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.0,0.07715293850621513,0.07715293850621513,0.5853730001676317,0.44307610230057054,0.44307610230057054,435.0,435,0.131,0.0,0.869,0.8341,0.131,0.0,0.869,0.8341,1,
1,0,0.0,0.0,0.0,0.4073195631426291,0.5209284553681156,0.5209284553681156,147.0,147,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,
1,0,0.0,0.0,0.0,0.4664596255772883,0.6503280685972704,0.6503280685972704,162.0,162,0.098,0.0,0.902,0.34,0.098,0.0,0.902,0.34,0,
1,0,0.10998569993173557,0.08272277501970134,0.08272277501970134,0.2370680257592004,0.3482073227948214,0.3482073227948214,238.0,238,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.0,0.0,0.0,0.3576199396947743,0.49157991864112416,0.49157991864112416,229.0,229,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.0845798608014702,0.14388052196620688,0.14388052196620688,0.30585628855904096,0.48405810552654527,0.48405810552654527,169.0,169,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.06123094334544521,0.10011031656225385,0.10011031656225385,0.43411359828317675,0.5080607546591105,0.5080607546591105,203.0,203,0.159,0.0,0.841,0.6705,0.159,0.0,0.841,0.6705,1,
1,0,0.14976221961074723,0.05400418246765694,0.05400418246765694,0.4398891561083652,0.4546630963281204,0.4546630963281204,148.0,148,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,
1,0,0.07780894359285004,0.08607577920972272,0.08607577920972272,0.3421708371228797,0.5243352729559267,0.5243352729559267,206.0,206,0.155,0.0,0.845,0.6705,0.155,0.0,0.845,0.6705,1,
1,0,0.0,0.03854966387223764,0.03854966387223764,0.34588556287494915,0.532790245329189,0.532790245329189,200.0,200,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.05992996822422367,0.05992996822422367,0.05992996822422367,0.27492535325759543,0.49116916356519197,0.49116916356519197,73.0,73,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,
1,0,0.06997254341808112,0.0,0.0,0.2887678942433063,0.5136916168318677,0.5136916168318677,137.0,137,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.11234277891542777,0.07734781234369076,0.07734781234369076,0.3504733641575499,0.38838865527174826,0.38838865527174826,218.0,218,0.141,0.0,0.859,0.6249,0.141,0.0,0.859,0.6249,0,
1,0,0.0794658730584613,0.046429278733534224,0.046429278733534224,0.33147015662115165,0.4053153882874545,0.4053153882874545,134.0,134,0.0,0.127,0.873,-0.4404,0.0,0.127,0.873,-0.4404,0,
1,0,0.0,0.0,0.0,0.3796481610796035,0.48249703967481156,0.48249703967481156,149.0,149,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,
1,0,0.0,0.03540569315957176,0.03540569315957176,0.3773976177985947,0.4331463377494129,0.4331463377494129,219.0,219,0.074,0.068,0.858,0.0516,0.074,0.068,0.858,0.0516,0,
